Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1971","1971","t","482646","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1971","1971","t","2","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1972","1972","t","399476","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1972","1972","t","1","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1973","1973","t","364815","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1973","1973","t","2","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1974","1974","t","371553","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1974","1974","t","2","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1975","1975","t","348172","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1975","1975","t","1","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1976","1976","t","370093","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1976","1976","t","4","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1977","1977","t","320431","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1977","1977","t","36","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1978","1978","t","414164","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1978","1978","t","13","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1979","1979","t","324775","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1979","1979","t","6","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1980","1980","t","335415","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1980","1980","t","6","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1981","1981","t","356512","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1981","1981","t","8","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1982","1982","t","337557","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1982","1982","t","8","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1983","1983","t","414388","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1983","1983","t","11","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1984","1984","t","319841","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1984","1984","t","6","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1985","1985","t","241734","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1985","1985","t","18","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1986","1986","t","259877","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1986","1986","t","51","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1987","1987","t","288131","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1987","1987","t","12","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1988","1988","t","227916","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1988","1988","t","9","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1989","1989","t","274413","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1989","1989","t","4","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1990","1990","t","221174","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1990","1990","t","4","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1991","1991","t","237279","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1991","1991","t","1","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1992","1992","t","237950","A","Official figure",""
